w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
0.500, 0.0 | 1.841 | 1.256 | 1.227
0.500, 1.0 | 1.753 | 1.007 | 0.890
0.500, 2.0 | 1.664 | 1.012 | 0.806
0.500, 3.0 | 1.575 | 0.918 | 0.708
0.500, 4.0 | 1.487 | 0.953 | 0.584
0.500, 5.0 | 1.399 | 0.949 | 0.500
0.500, 6.0 | 1.312 | 0.895 | 0.467
0.500, 7.0 | 1.225 | 0.841 | 0.434
0.500, 8.0 | 1.138 | 0.794 | 0.394
0.500, 9.0 | 1.052 | 0.773 | 0.329
0.500, 10.0 | 0.967 | 0.684 | 0.332
0.500, 11.0 | 0.883 | 0.651 | 0.337
0.500, 12.0 | 0.800 | 0.586 | 0.484
0.500, 13.0 | 0.719 | 0.530 | 0.621
0.500, 14.0 | 0.641 | 0.478 | 0.751
0.500, 15.0 | 0.566 | 0.420 | 0.884
0.500, 16.0 | 0.497 | 0.373 | 1.000
0.500, 17.0 | 0.435 | 0.325 | 1.109
0.500, 18.0 | 0.386 | 0.290 | 1.194
0.500, 19.0 | 0.352 | 0.265 | 1.253
0.500, 20.0 | 0.341 | 0.253 | 1.276
0.600, 0.0 | 1.562 | 1.096 | 0.788
0.600, 1.0 | 1.490 | 1.074 | 0.693
0.600, 2.0 | 1.417 | 1.108 | 0.655
0.600, 3.0 | 1.345 | 0.890 | 0.506
0.600, 4.0 | 1.274 | 1.023 | 0.427
0.600, 5.0 | 1.203 | 1.017 | 0.349
0.600, 6.0 | 1.132 | 1.070 | 0.332
0.600, 7.0 | 1.062 | 0.780 | 0.332
0.600, 8.0 | 0.993 | 0.693 | 0.350
0.600, 9.0 | 0.925 | 0.663 | 0.312
0.600, 10.0 | 0.858 | 0.652 | 0.360
0.600, 11.0 | 0.792 | 0.579 | 0.499
0.600, 12.0 | 0.729 | 0.532 | 0.609
0.600, 13.0 | 0.668 | 0.503 | 0.699
0.600, 14.0 | 0.610 | 0.451 | 0.810
0.600, 15.0 | 0.556 | 0.414 | 0.900
0.600, 16.0 | 0.508 | 0.384 | 0.978
0.600, 17.0 | 0.467 | 0.347 | 1.056
0.600, 18.0 | 0.436 | 0.327 | 1.107
0.600, 19.0 | 0.416 | 0.317 | 1.137
0.600, 20.0 | 0.409 | 0.299 | 1.162
0.700, 0.0 | 1.378 | 1.034 | 0.542
0.700, 1.0 | 1.317 | 1.198 | 0.646
0.700, 2.0 | 1.257 | 0.901 | 0.406
0.700, 3.0 | 1.198 | 1.094 | 0.421
0.700, 4.0 | 1.139 | 1.115 | 0.384
0.700, 5.0 | 1.080 | 1.049 | 0.260
0.700, 6.0 | 1.023 | 0.830 | 0.243
0.700, 7.0 | 0.966 | 0.750 | 0.266
0.700, 8.0 | 0.910 | 0.665 | 0.295
0.700, 9.0 | 0.856 | 0.601 | 0.413
0.700, 10.0 | 0.803 | 0.570 | 0.497
0.700, 11.0 | 0.752 | 0.569 | 0.549
0.700, 12.0 | 0.703 | 0.536 | 0.631
0.700, 13.0 | 0.657 | 0.479 | 0.734
0.700, 14.0 | 0.615 | 0.452 | 0.803
0.700, 15.0 | 0.576 | 0.441 | 0.853
0.700, 16.0 | 0.542 | 0.407 | 0.921
0.700, 17.0 | 0.515 | 0.377 | 0.979
0.700, 18.0 | 0.494 | 0.374 | 1.002
0.700, 19.0 | 0.481 | 0.373 | 1.016
0.700, 20.0 | 0.477 | 0.350 | 1.044
0.800, 0.0 | 1.255 | 0.828 | 0.478
0.800, 1.0 | 1.205 | 0.736 | 0.519
0.800, 2.0 | 1.155 | 0.770 | 0.434
0.800, 3.0 | 1.105 | 0.903 | 0.252
0.800, 4.0 | 1.056 | 0.973 | 0.159
0.800, 5.0 | 1.008 | 0.884 | 0.174
0.800, 6.0 | 0.961 | 0.809 | 0.202
0.800, 7.0 | 0.915 | 0.764 | 0.201
0.800, 8.0 | 0.870 | 0.715 | 0.285
0.800, 9.0 | 0.827 | 0.644 | 0.399
0.800, 10.0 | 0.785 | 0.574 | 0.510
0.800, 11.0 | 0.746 | 0.526 | 0.598
0.800, 12.0 | 0.708 | 0.505 | 0.656
0.800, 13.0 | 0.674 | 0.512 | 0.684
0.800, 14.0 | 0.642 | 0.504 | 0.724
0.800, 15.0 | 0.614 | 0.457 | 0.799
0.800, 16.0 | 0.590 | 0.424 | 0.856
0.800, 17.0 | 0.571 | 0.420 | 0.879
0.800, 18.0 | 0.557 | 0.438 | 0.876
0.800, 19.0 | 0.548 | 0.426 | 0.896
0.800, 20.0 | 0.545 | 0.396 | 0.929
0.900, 0.0 | 1.178 | 0.801 | 0.426
0.900, 1.0 | 1.135 | 1.057 | 0.322
0.900, 2.0 | 1.093 | 1.143 | 0.366
0.900, 3.0 | 1.052 | 0.838 | 0.264
0.900, 4.0 | 1.011 | 0.713 | 0.349
0.900, 5.0 | 0.972 | 0.662 | 0.359
0.900, 6.0 | 0.933 | 0.636 | 0.348
0.900, 7.0 | 0.896 | 0.619 | 0.355
0.900, 8.0 | 0.860 | 0.614 | 0.396
0.900, 9.0 | 0.826 | 0.622 | 0.423
0.900, 10.0 | 0.793 | 0.640 | 0.437
0.900, 11.0 | 0.762 | 0.633 | 0.475
0.900, 12.0 | 0.733 | 0.578 | 0.559
0.900, 13.0 | 0.707 | 0.518 | 0.645
0.900, 14.0 | 0.683 | 0.480 | 0.706
0.900, 15.0 | 0.663 | 0.466 | 0.742
0.900, 16.0 | 0.645 | 0.479 | 0.746
0.900, 17.0 | 0.631 | 0.510 | 0.729
0.900, 18.0 | 0.621 | 0.499 | 0.750
0.900, 19.0 | 0.615 | 0.459 | 0.796
0.900, 20.0 | 0.613 | 0.433 | 0.824
1.000, 0.0 | 1.133 | 0.720 | 0.463
1.000, 1.0 | 1.097 | 0.679 | 0.468
1.000, 2.0 | 1.062 | 0.662 | 0.450
1.000, 3.0 | 1.027 | 0.655 | 0.422
1.000, 4.0 | 0.994 | 0.651 | 0.392
1.000, 5.0 | 0.961 | 0.647 | 0.365
1.000, 6.0 | 0.930 | 0.636 | 0.344
1.000, 7.0 | 0.900 | 0.619 | 0.351
1.000, 8.0 | 0.871 | 0.597 | 0.402
1.000, 9.0 | 0.844 | 0.573 | 0.454
1.000, 10.0 | 0.818 | 0.550 | 0.502
1.000, 11.0 | 0.794 | 0.533 | 0.544
1.000, 12.0 | 0.771 | 0.524 | 0.575
1.000, 13.0 | 0.751 | 0.530 | 0.589
1.000, 14.0 | 0.733 | 0.561 | 0.576
1.000, 15.0 | 0.718 | 0.606 | 0.547
1.000, 16.0 | 0.705 | 0.599 | 0.567
1.000, 17.0 | 0.695 | 0.545 | 0.631
1.000, 18.0 | 0.687 | 0.500 | 0.683
1.000, 19.0 | 0.683 | 0.474 | 0.713
1.000, 20.0 | 0.681 | 0.465 | 0.723
1.100, 0.0 | 1.113 | 1.149 | 0.391
1.100, 1.0 | 1.083 | 1.435 | 0.648
1.100, 2.0 | 1.053 | 1.380 | 0.564
1.100, 3.0 | 1.025 | 1.115 | 0.269
1.100, 4.0 | 0.997 | 0.911 | 0.136
1.100, 5.0 | 0.971 | 0.809 | 0.211
1.100, 6.0 | 0.945 | 0.761 | 0.234
1.100, 7.0 | 0.920 | 0.741 | 0.229
1.100, 8.0 | 0.897 | 0.743 | 0.230
1.100, 9.0 | 0.875 | 0.763 | 0.232
1.100, 10.0 | 0.855 | 0.792 | 0.223
1.100, 11.0 | 0.836 | 0.804 | 0.231
1.100, 12.0 | 0.818 | 0.769 | 0.283
1.100, 13.0 | 0.803 | 0.698 | 0.370
1.100, 14.0 | 0.789 | 0.626 | 0.455
1.100, 15.0 | 0.777 | 0.573 | 0.520
1.100, 16.0 | 0.767 | 0.538 | 0.565
1.100, 17.0 | 0.759 | 0.517 | 0.594
1.100, 18.0 | 0.754 | 0.506 | 0.611
1.100, 19.0 | 0.750 | 0.505 | 0.615
1.100, 20.0 | 0.749 | 0.518 | 0.603
1.200, 0.0 | 1.112 | 0.672 | 0.490
1.200, 1.0 | 1.087 | 0.671 | 0.466
1.200, 2.0 | 1.062 | 0.673 | 0.439
1.200, 3.0 | 1.039 | 0.675 | 0.413
1.200, 4.0 | 1.016 | 0.677 | 0.388
1.200, 5.0 | 0.994 | 0.677 | 0.367
1.200, 6.0 | 0.973 | 0.672 | 0.351
1.200, 7.0 | 0.953 | 0.662 | 0.341
1.200, 8.0 | 0.934 | 0.647 | 0.337
1.200, 9.0 | 0.917 | 0.630 | 0.336
1.200, 10.0 | 0.900 | 0.612 | 0.358
1.200, 11.0 | 0.885 | 0.594 | 0.391
1.200, 12.0 | 0.871 | 0.578 | 0.421
1.200, 13.0 | 0.859 | 0.564 | 0.447
1.200, 14.0 | 0.848 | 0.553 | 0.468
1.200, 15.0 | 0.839 | 0.547 | 0.484
1.200, 16.0 | 0.831 | 0.546 | 0.493
1.200, 17.0 | 0.825 | 0.552 | 0.493
1.200, 18.0 | 0.821 | 0.569 | 0.480
1.200, 19.0 | 0.818 | 0.606 | 0.446
1.200, 20.0 | 0.817 | 0.670 | 0.383
1.300, 0.0 | 1.126 | 0.733 | 0.443
1.300, 1.0 | 1.105 | 0.697 | 0.458
1.300, 2.0 | 1.085 | 0.675 | 0.460
1.300, 3.0 | 1.065 | 0.659 | 0.456
1.300, 4.0 | 1.046 | 0.647 | 0.449
1.300, 5.0 | 1.028 | 0.637 | 0.441
1.300, 6.0 | 1.011 | 0.629 | 0.432
1.300, 7.0 | 0.994 | 0.622 | 0.423
1.300, 8.0 | 0.979 | 0.616 | 0.413
1.300, 9.0 | 0.965 | 0.612 | 0.403
1.300, 10.0 | 0.951 | 0.610 | 0.391
1.300, 11.0 | 0.939 | 0.610 | 0.379
1.300, 12.0 | 0.928 | 0.615 | 0.363
1.300, 13.0 | 0.918 | 0.625 | 0.343
1.300, 14.0 | 0.910 | 0.644 | 0.316
1.300, 15.0 | 0.902 | 0.676 | 0.292
1.300, 16.0 | 0.896 | 0.726 | 0.248
1.300, 17.0 | 0.892 | 0.796 | 0.183
1.300, 18.0 | 0.888 | 0.869 | 0.113
1.300, 19.0 | 0.886 | 0.913 | 0.071
1.300, 20.0 | 0.885 | 0.907 | 0.078
1.400, 0.0 | 1.152 | 1.644 | 0.926
1.400, 1.0 | 1.134 | 1.653 | 0.917
1.400, 2.0 | 1.117 | 1.603 | 0.850
1.400, 3.0 | 1.100 | 1.517 | 0.747
1.400, 4.0 | 1.085 | 1.418 | 0.633
1.400, 5.0 | 1.070 | 1.327 | 0.526
1.400, 6.0 | 1.055 | 1.253 | 0.439
1.400, 7.0 | 1.042 | 1.202 | 0.374
1.400, 8.0 | 1.029 | 1.170 | 0.329
1.400, 9.0 | 1.018 | 1.153 | 0.301
1.400, 10.0 | 1.007 | 1.145 | 0.282
1.400, 11.0 | 0.997 | 1.140 | 0.267
1.400, 12.0 | 0.988 | 1.131 | 0.249
1.400, 13.0 | 0.980 | 1.113 | 0.223
1.400, 14.0 | 0.973 | 1.081 | 0.184
1.400, 15.0 | 0.967 | 1.034 | 0.132
1.400, 16.0 | 0.962 | 0.978 | 0.070
1.400, 17.0 | 0.958 | 0.917 | 0.091
1.400, 18.0 | 0.956 | 0.859 | 0.147
1.400, 19.0 | 0.954 | 0.808 | 0.196
1.400, 20.0 | 0.954 | 0.765 | 0.238
1.500, 0.0 | 1.186 | 0.841 | 0.396
1.500, 1.0 | 1.171 | 0.852 | 0.369
1.500, 2.0 | 1.157 | 0.865 | 0.342
1.500, 3.0 | 1.143 | 0.877 | 0.317
1.500, 4.0 | 1.130 | 0.886 | 0.294
1.500, 5.0 | 1.117 | 0.893 | 0.275
1.500, 6.0 | 1.105 | 0.895 | 0.261
1.500, 7.0 | 1.094 | 0.892 | 0.252
1.500, 8.0 | 1.084 | 0.885 | 0.249
1.500, 9.0 | 1.074 | 0.874 | 0.251
1.500, 10.0 | 1.065 | 0.859 | 0.256
1.500, 11.0 | 1.057 | 0.843 | 0.264
1.500, 12.0 | 1.050 | 0.825 | 0.275
1.500, 13.0 | 1.043 | 0.807 | 0.287
1.500, 14.0 | 1.038 | 0.789 | 0.299
1.500, 15.0 | 1.033 | 0.772 | 0.311
1.500, 16.0 | 1.029 | 0.756 | 0.323
1.500, 17.0 | 1.026 | 0.741 | 0.334
1.500, 18.0 | 1.023 | 0.728 | 0.346
1.500, 19.0 | 1.022 | 0.716 | 0.356
1.500, 20.0 | 1.022 | 0.705 | 0.367
1.600, 0.0 | 1.228 | 0.807 | 0.471
1.600, 1.0 | 1.215 | 0.801 | 0.464
1.600, 2.0 | 1.203 | 0.796 | 0.457
1.600, 3.0 | 1.191 | 0.791 | 0.450
1.600, 4.0 | 1.180 | 0.787 | 0.443
1.600, 5.0 | 1.169 | 0.782 | 0.437
