w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
1.300, 15.0 | 0.902 | 0.881 | 0.087
1.300, 16.0 | 0.896 | 0.922 | 0.051
1.300, 17.0 | 0.892 | 0.944 | 0.034
1.300, 18.0 | 0.888 | 0.937 | 0.045
1.300, 19.0 | 0.886 | 0.903 | 0.081
1.300, 20.0 | 0.885 | 0.852 | 0.133
1.310, 15.0 | 0.909 | 0.924 | 0.037
1.310, 16.0 | 0.903 | 0.953 | 0.014
1.310, 17.0 | 0.898 | 0.959 | 0.013
1.310, 18.0 | 0.895 | 0.937 | 0.038
1.310, 19.0 | 0.893 | 0.894 | 0.083
1.310, 20.0 | 0.892 | 0.840 | 0.138
1.320, 15.0 | 0.915 | 0.963 | 0.008
1.320, 16.0 | 0.909 | 0.976 | 0.017
1.320, 17.0 | 0.905 | 0.966 | 0.011
1.320, 18.0 | 0.902 | 0.932 | 0.037
1.320, 19.0 | 0.900 | 0.882 | 0.089
1.320, 20.0 | 0.899 | 0.827 | 0.143
1.330, 15.0 | 0.922 | 0.993 | 0.045
1.330, 16.0 | 0.916 | 0.990 | 0.036
1.330, 17.0 | 0.912 | 0.965 | 0.006
1.330, 18.0 | 0.908 | 0.921 | 0.041
1.330, 19.0 | 0.907 | 0.868 | 0.096
1.330, 20.0 | 0.906 | 0.815 | 0.149
1.340, 15.0 | 0.928 | 1.013 | 0.071
1.340, 16.0 | 0.923 | 0.994 | 0.047
1.340, 17.0 | 0.918 | 0.957 | 0.012
1.340, 18.0 | 0.915 | 0.907 | 0.058
1.340, 19.0 | 0.913 | 0.853 | 0.111
1.340, 20.0 | 0.913 | 0.802 | 0.161
1.350, 15.0 | 0.935 | 1.021 | 0.086
1.350, 16.0 | 0.929 | 0.989 | 0.048
1.350, 17.0 | 0.925 | 0.943 | 0.032
1.350, 18.0 | 0.922 | 0.890 | 0.082
1.350, 19.0 | 0.920 | 0.837 | 0.133
1.350, 20.0 | 0.919 | 0.790 | 0.180
1.360, 15.0 | 0.941 | 1.019 | 0.090
1.360, 16.0 | 0.936 | 0.976 | 0.042
1.360, 17.0 | 0.932 | 0.925 | 0.057
1.360, 18.0 | 0.929 | 0.872 | 0.107
1.360, 19.0 | 0.927 | 0.822 | 0.155
1.360, 20.0 | 0.926 | 0.778 | 0.198
1.370, 15.0 | 0.948 | 1.006 | 0.084
1.370, 16.0 | 0.942 | 0.957 | 0.035
1.370, 17.0 | 0.938 | 0.905 | 0.084
1.370, 18.0 | 0.935 | 0.853 | 0.132
1.370, 19.0 | 0.934 | 0.807 | 0.177
1.370, 20.0 | 0.933 | 0.767 | 0.216
1.380, 15.0 | 0.954 | 0.986 | 0.071
1.380, 16.0 | 0.949 | 0.935 | 0.064
1.380, 17.0 | 0.945 | 0.883 | 0.112
1.380, 18.0 | 0.942 | 0.835 | 0.157
1.380, 19.0 | 0.941 | 0.793 | 0.198
1.380, 20.0 | 0.940 | 0.757 | 0.232
1.390, 15.0 | 0.961 | 0.962 | 0.052
1.390, 16.0 | 0.956 | 0.911 | 0.095
1.390, 17.0 | 0.952 | 0.862 | 0.139
1.390, 18.0 | 0.949 | 0.818 | 0.181
1.390, 19.0 | 0.947 | 0.780 | 0.217
1.390, 20.0 | 0.947 | 0.749 | 0.248
1.400, 15.0 | 0.967 | 0.935 | 0.082
1.400, 16.0 | 0.962 | 0.887 | 0.126
1.400, 17.0 | 0.958 | 0.842 | 0.167
1.400, 18.0 | 0.956 | 0.803 | 0.203
1.400, 19.0 | 0.954 | 0.769 | 0.235
1.400, 20.0 | 0.953 | 0.741 | 0.262

BEST OVERALL RESULT:
w0 = 1.330 [um]
z0 = 17.000 [um]
Pump FWHM = 0.912 [um]
Probe FWHM = 0.965 [um]
Error = 0.006 [um]
