w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.000, 0.0 | 2.065 | 0.820 | 0.664
3.000, 1.0 | 2.063 | 0.820 | 0.667
3.000, 2.0 | 2.061 | 0.820 | 0.669
3.000, 3.0 | 2.059 | 0.819 | 0.671
3.000, 4.0 | 2.058 | 0.819 | 0.673
3.000, 5.0 | 2.056 | 0.819 | 0.675
3.000, 6.0 | 2.054 | 0.819 | 0.677
3.000, 7.0 | 2.053 | 0.818 | 0.679
3.000, 8.0 | 2.051 | 0.818 | 0.680
3.000, 9.0 | 2.050 | 0.818 | 0.682
3.000, 10.0 | 2.049 | 0.818 | 0.683
3.000, 11.0 | 2.048 | 0.818 | 0.684
3.000, 12.0 | 2.047 | 0.818 | 0.685
3.000, 13.0 | 2.046 | 0.818 | 0.686
3.000, 14.0 | 2.045 | 0.818 | 0.687
3.000, 15.0 | 2.045 | 0.818 | 0.687
3.000, 16.0 | 2.044 | 0.818 | 0.687
3.000, 17.0 | 2.044 | 0.818 | 0.688
3.000, 18.0 | 2.044 | 0.819 | 0.688
3.000, 19.0 | 2.043 | 0.819 | 0.688
3.000, 20.0 | 2.043 | 0.819 | 0.688
3.010, 0.0 | 2.072 | 0.822 | 0.656
3.010, 1.0 | 2.070 | 0.822 | 0.658
3.010, 2.0 | 2.068 | 0.821 | 0.661
3.010, 3.0 | 2.066 | 0.821 | 0.663
3.010, 4.0 | 2.064 | 0.821 | 0.665
3.010, 5.0 | 2.063 | 0.821 | 0.667
3.010, 6.0 | 2.061 | 0.820 | 0.669
3.010, 7.0 | 2.059 | 0.820 | 0.670
3.010, 8.0 | 2.058 | 0.820 | 0.672
3.010, 9.0 | 2.057 | 0.820 | 0.673
3.010, 10.0 | 2.056 | 0.820 | 0.674
3.010, 11.0 | 2.055 | 0.820 | 0.676
3.010, 12.0 | 2.054 | 0.820 | 0.677
3.010, 13.0 | 2.053 | 0.820 | 0.677
3.010, 14.0 | 2.052 | 0.820 | 0.678
3.010, 15.0 | 2.051 | 0.820 | 0.679
3.010, 16.0 | 2.051 | 0.820 | 0.679
3.010, 17.0 | 2.051 | 0.820 | 0.679
3.010, 18.0 | 2.050 | 0.820 | 0.679
3.010, 19.0 | 2.050 | 0.821 | 0.679
3.010, 20.0 | 2.050 | 0.821 | 0.679
3.020, 0.0 | 2.079 | 0.824 | 0.648
3.020, 1.0 | 2.077 | 0.823 | 0.650
3.020, 2.0 | 2.075 | 0.823 | 0.652
3.020, 3.0 | 2.073 | 0.823 | 0.655
3.020, 4.0 | 2.071 | 0.823 | 0.657
3.020, 5.0 | 2.069 | 0.822 | 0.658
3.020, 6.0 | 2.068 | 0.822 | 0.660
3.020, 7.0 | 2.066 | 0.822 | 0.662
3.020, 8.0 | 2.065 | 0.822 | 0.663
3.020, 9.0 | 2.064 | 0.822 | 0.665
3.020, 10.0 | 2.062 | 0.822 | 0.666
3.020, 11.0 | 2.061 | 0.822 | 0.667
3.020, 12.0 | 2.060 | 0.822 | 0.668
3.020, 13.0 | 2.060 | 0.822 | 0.669
3.020, 14.0 | 2.059 | 0.822 | 0.669
3.020, 15.0 | 2.058 | 0.822 | 0.670
3.020, 16.0 | 2.058 | 0.822 | 0.670
3.020, 17.0 | 2.057 | 0.822 | 0.671
3.020, 18.0 | 2.057 | 0.822 | 0.671
3.020, 19.0 | 2.057 | 0.822 | 0.671
3.020, 20.0 | 2.057 | 0.823 | 0.670
3.030, 0.0 | 2.085 | 0.826 | 0.639
3.030, 1.0 | 2.083 | 0.825 | 0.642
3.030, 2.0 | 2.081 | 0.825 | 0.644
3.030, 3.0 | 2.079 | 0.825 | 0.646
3.030, 4.0 | 2.078 | 0.824 | 0.648
3.030, 5.0 | 2.076 | 0.824 | 0.650
3.030, 6.0 | 2.074 | 0.824 | 0.652
3.030, 7.0 | 2.073 | 0.824 | 0.653
3.030, 8.0 | 2.072 | 0.824 | 0.655
3.030, 9.0 | 2.070 | 0.824 | 0.656
3.030, 10.0 | 2.069 | 0.824 | 0.657
3.030, 11.0 | 2.068 | 0.823 | 0.658
3.030, 12.0 | 2.067 | 0.823 | 0.659
3.030, 13.0 | 2.066 | 0.823 | 0.660
3.030, 14.0 | 2.066 | 0.824 | 0.661
3.030, 15.0 | 2.065 | 0.824 | 0.661
3.030, 16.0 | 2.065 | 0.824 | 0.662
3.030, 17.0 | 2.064 | 0.824 | 0.662
3.030, 18.0 | 2.064 | 0.824 | 0.662
3.030, 19.0 | 2.064 | 0.824 | 0.662
3.030, 20.0 | 2.064 | 0.824 | 0.662
3.040, 0.0 | 2.092 | 0.827 | 0.631
3.040, 1.0 | 2.090 | 0.827 | 0.633
3.040, 2.0 | 2.088 | 0.827 | 0.635
3.040, 3.0 | 2.086 | 0.826 | 0.638
3.040, 4.0 | 2.084 | 0.826 | 0.640
3.040, 5.0 | 2.083 | 0.826 | 0.641
3.040, 6.0 | 2.081 | 0.826 | 0.643
3.040, 7.0 | 2.080 | 0.826 | 0.645
3.040, 8.0 | 2.078 | 0.826 | 0.646
3.040, 9.0 | 2.077 | 0.825 | 0.648
3.040, 10.0 | 2.076 | 0.825 | 0.649
3.040, 11.0 | 2.075 | 0.825 | 0.650
3.040, 12.0 | 2.074 | 0.825 | 0.651
3.040, 13.0 | 2.073 | 0.825 | 0.651
3.040, 14.0 | 2.072 | 0.825 | 0.652
3.040, 15.0 | 2.072 | 0.825 | 0.653
3.040, 16.0 | 2.071 | 0.826 | 0.653
3.040, 17.0 | 2.071 | 0.826 | 0.653
3.040, 18.0 | 2.071 | 0.826 | 0.653
3.040, 19.0 | 2.071 | 0.826 | 0.653
3.040, 20.0 | 2.071 | 0.826 | 0.653
3.050, 0.0 | 2.098 | 0.829 | 0.622
3.050, 1.0 | 2.096 | 0.829 | 0.625
3.050, 2.0 | 2.094 | 0.829 | 0.627
3.050, 3.0 | 2.093 | 0.828 | 0.629
3.050, 4.0 | 2.091 | 0.828 | 0.631
3.050, 5.0 | 2.089 | 0.828 | 0.633
3.050, 6.0 | 2.088 | 0.828 | 0.635
3.050, 7.0 | 2.086 | 0.828 | 0.636
3.050, 8.0 | 2.085 | 0.827 | 0.638
3.050, 9.0 | 2.084 | 0.827 | 0.639
3.050, 10.0 | 2.083 | 0.827 | 0.640
3.050, 11.0 | 2.082 | 0.827 | 0.641
3.050, 12.0 | 2.081 | 0.827 | 0.642
3.050, 13.0 | 2.080 | 0.827 | 0.643
3.050, 14.0 | 2.079 | 0.827 | 0.643
3.050, 15.0 | 2.079 | 0.827 | 0.644
3.050, 16.0 | 2.078 | 0.827 | 0.644
3.050, 17.0 | 2.078 | 0.828 | 0.645
3.050, 18.0 | 2.078 | 0.828 | 0.645
3.050, 19.0 | 2.077 | 0.828 | 0.645
3.050, 20.0 | 2.077 | 0.828 | 0.644
3.060, 0.0 | 2.105 | 0.831 | 0.614
3.060, 1.0 | 2.103 | 0.831 | 0.616
3.060, 2.0 | 2.101 | 0.830 | 0.618
3.060, 3.0 | 2.099 | 0.830 | 0.621
3.060, 4.0 | 2.098 | 0.830 | 0.622
3.060, 5.0 | 2.096 | 0.830 | 0.624
3.060, 6.0 | 2.094 | 0.830 | 0.626
3.060, 7.0 | 2.093 | 0.829 | 0.628
3.060, 8.0 | 2.092 | 0.829 | 0.629
3.060, 9.0 | 2.091 | 0.829 | 0.630
3.060, 10.0 | 2.089 | 0.829 | 0.631
3.060, 11.0 | 2.088 | 0.829 | 0.632
3.060, 12.0 | 2.088 | 0.829 | 0.633
3.060, 13.0 | 2.087 | 0.829 | 0.634
3.060, 14.0 | 2.086 | 0.829 | 0.635
3.060, 15.0 | 2.086 | 0.829 | 0.635
3.060, 16.0 | 2.085 | 0.829 | 0.636
3.060, 17.0 | 2.085 | 0.830 | 0.636
3.060, 18.0 | 2.084 | 0.830 | 0.636
3.060, 19.0 | 2.084 | 0.830 | 0.636
3.060, 20.0 | 2.084 | 0.830 | 0.636
3.070, 0.0 | 2.112 | 0.833 | 0.605
3.070, 1.0 | 2.110 | 0.833 | 0.608
